كَتَبَ	كتب	kátaba
وَتَكْتُبْنَكُمَا	وتكتبنكما	wataktubnákuma̱
وَتَكْتُبْنَهَا	وتكتبنها	wataktúbnaha̱
وَتَكْتُبْنَهُ	وتكتبنه	wataktúbnahu
وَتَكْتُبْنَهُمْ	وتكتبنهم	wataktúbnahum
وَتَكْتُبْنَهُمَا	وتكتبنهما	wataktubnáhuma̱
وَتَكْتُبْنَهُنَّ	وتكتبنهن	wataktubnahúnna
وَتَكْتُبْنَكُنَّ	وتكتبنكن	wataktubnakúnna
فَتَكْتُبْنَ	فتكتبن	fataktúbna
فَتَكْتُبْنَنِي	فتكتبنني	fataktúbnani̱
فَتَكْتُبْنَنَا	فتكتبننا	fataktúbnana̱
فَتَكْتُبْنَكَ	فتكتبنك	fataktúbnaka
فَتَكْتُبْنَكِ	فتكتبنك	fataktúbnaki
فَتَكْتُبْنَكُمْ	فتكتبنكم	fataktúbnakum
فَتَكْتُبْنَكُمَا	فتكتبنكما	fataktubnákuma̱
فَتَكْتُبْنَهَا	فتكتبنها	fataktúbnaha̱
فَتَكْتُبْنَهُ	فتكتبنه	fataktúbnahu
فَتَكْتُبْنَهُمْ	فتكتبنهم	fataktúbnahum
فَتَكْتُبْنَهُمَا	فتكتبنهما	fataktubnáhuma̱
فَتَكْتُبْنَهُنَّ	فتكتبنهن	fataktubnahúnna
فَتَكْتُبْنَكُنَّ	فتكتبنكن	fataktubnakúnna
وَلْتَكْتُبْنَ	ولتكتبن	waltaktúbna
وَلْتَكْتُبْنَنِي	ولتكتبنني	waltaktúbnani̱
وَلْتَكْتُبْنَنَا	ولتكتبننا	waltaktúbnana̱
وَلْتَكْتُبْنَكَ	ولتكتبنك	waltaktúbnaka
وَلْتَكْتُبْنَكِ	ولتكتبنك	waltaktúbnaki
وَلْتَكْتُبْنَكُمْ	ولتكتبنكم	waltaktúbnakum
وَلْتَكْتُبْنَكُمَا	ولتكتبنكما	waltaktubnákuma̱
وَلْتَكْتُبْنَهَا	ولتكتبنها	waltaktúbnaha̱
وَلْتَكْتُبْنَهُ	ولتكتبنه	waltaktúbnahu
وَلْتَكْتُبْنَهُمْ	ولتكتبنهم	waltaktúbnahum
وَلْتَكْتُبْنَهُمَا	ولتكتبنهما	waltaktubnáhuma̱
وَلْتَكْتُبْنَهُنَّ	ولتكتبنهن	waltaktubnahúnna
وَلْتَكْتُبْنَكُنَّ	ولتكتبنكن	waltaktubnakúnna
فَلْتَكْتُبْنَ	فلتكتبن	faltaktúbna
فَلْتَكْتُبْنَنِي	فلتكتبنني	faltaktúbnani̱
فَلْتَكْتُبْنَنَا	فلتكتبننا	faltaktúbnana̱
فَلْتَكْتُبْنَكَ	فلتكتبنك	faltaktúbnaka
فَلْتَكْتُبْنَكِ	فلتكتبنك	faltaktúbnaki
فَلْتَكْتُبْنَكُمْ	فلتكتبنكم	faltaktúbnakum
فَلْتَكْتُبْنَكُمَا	فلتكتبنكما	faltaktubnákuma̱
فَلْتَكْتُبْنَهَا	فلتكتبنها	faltaktúbnaha̱
فَلْتَكْتُبْنَهُ	فلتكتبنه	faltaktúbnahu
فَلْتَكْتُبْنَهُمْ	فلتكتبنهم	faltaktúbnahum
فَلْتَكْتُبْنَهُمَا	فلتكتبنهما	faltaktubnáhuma̱
فَلْتَكْتُبْنَهُنَّ	فلتكتبنهن	faltaktubnahúnna
فَلْتَكْتُبْنَكُنَّ	فلتكتبنكن	faltaktubnakúnna
لِتَكْتُبْنَ	لتكتبن	litaktúbna
لِتَكْتُبْنَنِي	لتكتبنني	litaktúbnani̱
لِتَكْتُبْنَنَا	لتكتبننا	litaktúbnana̱
لِتَكْتُبْنَكَ	لتكتبنك	litaktúbnaka
لِتَكْتُبْنَكِ	لتكتبنك	litaktúbnaki
لِتَكْتُبْنَكُمْ	لتكتبنكم	litaktúbnakum
لِتَكْتُبْنَكُمَا	لتكتبنكما	litaktubnákuma̱
لِتَكْتُبْنَهَا	لتكتبنها	litaktúbnaha̱
لِتَكْتُبْنَهُ	لتكتبنه	litaktúbnahu
لِتَكْتُبْنَهُمْ	لتكتبنهم	litaktúbnahum
لِتَكْتُبْنَهُمَا	لتكتبنهما	litaktubnáhuma̱
لِتَكْتُبْنَهُنَّ	لتكتبنهن	litaktubnahúnna
لِتَكْتُبْنَكُنَّ	لتكتبنكن	litaktubnakúnna
وَلِتَكْتُبْنَ	ولتكتبن	walitaktúbna
وَلِتَكْتُبْنَنِي	ولتكتبنني	walitaktúbnani̱
وَلِتَكْتُبْنَنَا	ولتكتبننا	walitaktúbnana̱
وَلِتَكْتُبْنَكَ	ولتكتبنك	walitaktúbnaka
وَلِتَكْتُبْنَكِ	ولتكتبنك	walitaktúbnaki
وَلِتَكْتُبْنَكُمْ	ولتكتبنكم	walitaktúbnakum
وَلِتَكْتُبْنَكُمَا	ولتكتبنكما	walitaktubnákuma̱
وَلِتَكْتُبْنَهَا	ولتكتبنها	walitaktúbnaha̱
وَلِتَكْتُبْنَهُ	ولتكتبنه	walitaktúbnahu
وَلِتَكْتُبْنَهُمْ	ولتكتبنهم	walitaktúbnahum
وَلِتَكْتُبْنَهُمَا	ولتكتبنهما	walitaktubnáhuma̱
وَلِتَكْتُبْنَهُنَّ	ولتكتبنهن	walitaktubnahúnna
وَلِتَكْتُبْنَكُنَّ	ولتكتبنكن	walitaktubnakúnna
فَلِتَكْتُبْنَ	فلتكتبن	falitaktúbna
فَلِتَكْتُبْنَنِي	فلتكتبنني	falitaktúbnani̱
فَلِتَكْتُبْنَنَا	فلتكتبننا	falitaktúbnana̱
فَلِتَكْتُبْنَكَ	فلتكتبنك	falitaktúbnaka
فَلِتَكْتُبْنَكِ	فلتكتبنك	falitaktúbnaki
فَلِتَكْتُبْنَكُمْ	فلتكتبنكم	falitaktúbnakum
فَلِتَكْتُبْنَكُمَا	فلتكتبنكما	falitaktubnákuma̱
فَلِتَكْتُبْنَهَا	فلتكتبنها	falitaktúbnaha̱
فَلِتَكْتُبْنَهُ	فلتكتبنه	falitaktúbnahu
فَلِتَكْتُبْنَهُمْ	فلتكتبنهم	falitaktúbnahum
فَلِتَكْتُبْنَهُمَا	فلتكتبنهما	falitaktubnáhuma̱
فَلِتَكْتُبْنَهُنَّ	فلتكتبنهن	falitaktubnahúnna
فَلِتَكْتُبْنَكُنَّ	فلتكتبنكن	falitaktubnakúnna
أَتَكْتُبْنَ	أتكتبن	ʾataktúbna
أَتَكْتُبْنَنِي	أتكتبنني	ʾataktúbnani̱
أَتَكْتُبْنَنَا	أتكتبننا	ʾataktúbnana̱
أَتَكْتُبْنَكَ	أتكتبنك	ʾataktúbnaka
أَتَكْتُبْنَكِ	أتكتبنك	ʾataktúbnaki
أَتَكْتُبْنَكُمْ	أتكتبنكم	ʾataktúbnakum
أَتَكْتُبْنَكُمَا	أتكتبنكما	ʾataktubnákuma̱
أَتَكْتُبْنَهَا	أتكتبنها	ʾataktúbnaha̱
أَتَكْتُبْنَهُ	أتكتبنه	ʾataktúbnahu
أَتَكْتُبْنَهُمْ	أتكتبنهم	ʾataktúbnahum
أَتَكْتُبْنَهُمَا	أتكتبنهما	ʾataktubnáhuma̱
أَتَكْتُبْنَهُنَّ	أتكتبنهن	ʾataktubnahúnna
أَتَكْتُبْنَكُنَّ	أتكتبنكن	ʾataktubnakúnna
أَوَتَكْتُبْنَ	أوتكتبن	ʾawataktúbna
أَوَتَكْتُبْنَنِي	أوتكتبنني	ʾawataktúbnani̱
أَوَتَكْتُبْنَنَا	أوتكتبننا	ʾawataktúbnana̱
أَوَتَكْتُبْنَكَ	أوتكتبنك	ʾawataktúbnaka
أَوَتَكْتُبْنَكِ	أوتكتبنك	ʾawataktúbnaki
أَوَتَكْتُبْنَكُمْ	أوتكتبنكم	ʾawataktúbnakum
أَوَتَكْتُبْنَكُمَا	أوتكتبنكما	ʾawataktubnákuma̱
أَوَتَكْتُبْنَهَا	أوتكتبنها	ʾawataktúbnaha̱
أَوَتَكْتُبْنَهُ	أوتكتبنه	ʾawataktúbnahu
أَوَتَكْتُبْنَهُمْ	أوتكتبنهم	ʾawataktúbnahum
أَوَتَكْتُبْنَهُمَا	أوتكتبنهما	ʾawataktubnáhuma̱
أَوَتَكْتُبْنَهُنَّ	أوتكتبنهن	ʾawataktubnahúnna
أَوَتَكْتُبْنَكُنَّ	أوتكتبنكن	ʾawataktubnakúnna
أَفَتَكْتُبْنَ	أفتكتبن	ʾafataktúbna
أَفَتَكْتُبْنَنِي	أفتكتبنني	ʾafataktúbnani̱
أَفَتَكْتُبْنَنَا	أفتكتبننا	ʾafataktúbnana̱
أَفَتَكْتُبْنَكَ	أفتكتبنك	ʾafataktúbnaka
أَفَتَكْتُبْنَكِ	أفتكتبنك	ʾafataktúbnaki
أَفَتَكْتُبْنَكُمْ	أفتكتبنكم	ʾafataktúbnakum
أَفَتَكْتُبْنَكُمَا	أفتكتبنكما	ʾafataktubnákuma̱
أَفَتَكْتُبْنَهَا	أفتكتبنها	ʾafataktúbnaha̱
أَفَتَكْتُبْنَهُ	أفتكتبنه	ʾafataktúbnahu
أَفَتَكْتُبْنَهُمْ	أفتكتبنهم	ʾafataktúbnahum
أَفَتَكْتُبْنَهُمَا	أفتكتبنهما	ʾafataktubnáhuma̱
أَفَتَكْتُبْنَهُنَّ	أفتكتبنهن	ʾafataktubnahúnna
أَفَتَكْتُبْنَكُنَّ	أفتكتبنكن	ʾafataktubnakúnna
أَلِتَكْتُبْنَ	ألتكتبن	ʾalitaktúbna
أَلِتَكْتُبْنَنِي	ألتكتبنني	ʾalitaktúbnani̱
أَلِتَكْتُبْنَنَا	ألتكتبننا	ʾalitaktúbnana̱
أَلِتَكْتُبْنَكَ	ألتكتبنك	ʾalitaktúbnaka
أَلِتَكْتُبْنَكِ	ألتكتبنك	ʾalitaktúbnaki
أَلِتَكْتُبْنَكُمْ	ألتكتبنكم	ʾalitaktúbnakum
أَلِتَكْتُبْنَكُمَا	ألتكتبنكما	ʾalitaktubnákuma̱
أَلِتَكْتُبْنَهَا	ألتكتبنها	ʾalitaktúbnaha̱
أَلِتَكْتُبْنَهُ	ألتكتبنه	ʾalitaktúbnahu
أَلِتَكْتُبْنَهُمْ	ألتكتبنهم	ʾalitaktúbnahum
أَلِتَكْتُبْنَهُمَا	ألتكتبنهما	ʾalitaktubnáhuma̱
أَلِتَكْتُبْنَهُنَّ	ألتكتبنهن	ʾalitaktubnahúnna
أَلِتَكْتُبْنَكُنَّ	ألتكتبنكن	ʾalitaktubnakúnna
أَوَلِتَكْتُبْنَ	أولتكتبن	ʾawalitaktúbna
أَوَلِتَكْتُبْنَنِي	أولتكتبنني	ʾawalitaktúbnani̱
أَوَلِتَكْتُبْنَنَا	أولتكتبننا	ʾawalitaktúbnana̱
أَوَلِتَكْتُبْنَكَ	أولتكتبنك	ʾawalitaktúbnaka
أَوَلِتَكْتُبْنَكِ	أولتكتبنك	ʾawalitaktúbnaki
أَوَلِتَكْتُبْنَكُمْ	أولتكتبنكم	ʾawalitaktúbnakum
أَوَلِتَكْتُبْنَكُمَا	أولتكتبنكما	ʾawalitaktubnákuma̱
أَوَلِتَكْتُبْنَهَا	أولتكتبنها	ʾawalitaktúbnaha̱
أَوَلِتَكْتُبْنَهُ	أولتكتبنه	ʾawalitaktúbnahu
أَوَلِتَكْتُبْنَهُمْ	أولتكتبنهم	ʾawalitaktúbnahum
أَوَلِتَكْتُبْنَهُمَا	أولتكتبنهما	ʾawalitaktubnáhuma̱
أَوَلِتَكْتُبْنَهُنَّ	أولتكتبنهن	ʾawalitaktubnahúnna
أَوَلِتَكْتُبْنَكُنَّ	أولتكتبنكن	ʾawalitaktubnakúnna
أَفَلِتَكْتُبْنَ	أفلتكتبن	ʾafalitaktúbna
أَفَلِتَكْتُبْنَنِي	أفلتكتبنني	ʾafalitaktúbnani̱
أَفَلِتَكْتُبْنَنَا	أفلتكتبننا	ʾafalitaktúbnana̱
أَفَلِتَكْتُبْنَكَ	أفلتكتبنك	ʾafalitaktúbnaka
أَفَلِتَكْتُبْنَكِ	أفلتكتبنك	ʾafalitaktúbnaki
أَفَلِتَكْتُبْنَكُمْ	أفلتكتبنكم	ʾafalitaktúbnakum
أَفَلِتَكْتُبْنَكُمَا	أفلتكتبنكما	ʾafalitaktubnákuma̱
أَفَلِتَكْتُبْنَهَا	أفلتكتبنها	ʾafalitaktúbnaha̱
أَفَلِتَكْتُبْنَهُ	أفلتكتبنه	ʾafalitaktúbnahu
أَفَلِتَكْتُبْنَهُمْ	أفلتكتبنهم	ʾafalitaktúbnahum
أَفَلِتَكْتُبْنَهُمَا	أفلتكتبنهما	ʾafalitaktubnáhuma̱
أَفَلِتَكْتُبْنَهُنَّ	أفلتكتبنهن	ʾafalitaktubnahúnna
أَفَلِتَكْتُبْنَكُنَّ	أفلتكتبنكن	ʾafalitaktubnakúnna
تَكْتُبُونَ	تكتبون	taktubū́na
تَكْتُبُونَنِي	تكتبونني	taktubū́nani̱
تَكْتُبُونَنَا	تكتبوننا	taktubū́nana̱
تَكْتُبُونَكُمْ	تكتبونكم	taktubū́nakum
تَكْتُبُونَهَا	تكتبونها	taktubū́naha̱
تَكْتُبُونَهُ	تكتبونه	taktubū́nahu
تَكْتُبُونَهُمْ	تكتبونهم	taktubū́nahum
تَكْتُبُونَهُمَا	تكتبونهما	taktubūnáhuma̱
تَكْتُبُونَهُنَّ	تكتبونهن	taktubūnahúnna
تَكْتُبُونَكُنَّ	تكتبونكن	taktubūnakúnna
وَتَكْتُبُونَ	وتكتبون	wataktubū́na
وَتَكْتُبُونَنِي	وتكتبونني	wataktubū́nani̱
وَتَكْتُبُونَنَا	وتكتبوننا	wataktubū́nana̱
وَتَكْتُبُونَكُمْ	وتكتبونكم	wataktubū́nakum
وَتَكْتُبُونَهَا	وتكتبونها	wataktubū́naha̱
وَتَكْتُبُونَهُ	وتكتبونه	wataktubū́nahu
وَتَكْتُبُونَهُمْ	وتكتبونهم	wataktubū́nahum
وَتَكْتُبُونَهُمَا	وتكتبونهما	wataktubūnáhuma̱
وَتَكْتُبُونَهُنَّ	وتكتبونهن	wataktubūnahúnna
وَتَكْتُبُونَكُنَّ	وتكتبونكن	wataktubūnakúnna
فَتَكْتُبُونَ	فتكتبون	fataktubū́na
فَتَكْتُبُونَنِي	فتكتبونني	fataktubū́nani̱
فَتَكْتُبُونَنَا	فتكتبوننا	fataktubū́nana̱
فَتَكْتُبُونَكُمْ	فتكتبونكم	fataktubū́nakum
فَتَكْتُبُونَهَا	فتكتبونها	fataktubū́naha̱
فَتَكْتُبُونَهُ	فتكتبونه	fataktubū́nahu
فَتَكْتُبُونَهُمْ	فتكتبونهم	fataktubū́nahum
فَتَكْتُبُونَهُمَا	فتكتبونهما	fataktubūnáhuma̱
فَتَكْتُبُونَهُنَّ	فتكتبونهن	fataktubūnahúnna
فَتَكْتُبُونَكُنَّ	فتكتبونكن	fataktubūnakúnna
أَتَكْتُبُونَ	أتكتبون	ʾataktubū́na
أَتَكْتُبُونَنِي	أتكتبونني	ʾataktubū́nani̱
أَتَكْتُبُونَنَا	أتكتبوننا	ʾataktubū́nana̱
أَتَكْتُبُونَكُمْ	أتكتبونكم	ʾataktubū́nakum
أَتَكْتُبُونَهَا	أتكتبونها	ʾataktubū́naha̱
أَتَكْتُبُونَهُ	أتكتبونه	ʾataktubū́nahu
أَتَكْتُبُونَهُمْ	أتكتبونهم	ʾataktubū́nahum
أَتَكْتُبُونَهُمَا	أتكتبونهما	ʾataktubūnáhuma̱
أَتَكْتُبُونَهُنَّ	أتكتبونهن	ʾataktubūnahúnna
أَتَكْتُبُونَكُنَّ	أتكتبونكن	ʾataktubūnakúnna
أَوَتَكْتُبُونَ	أوتكتبون	ʾawataktubū́na
أَوَتَكْتُبُونَنِي	أوتكتبونني	ʾawataktubū́nani̱
أَوَتَكْتُبُونَنَا	أوتكتبوننا	ʾawataktubū́nana̱
أَوَتَكْتُبُونَكُمْ	أوتكتبونكم	ʾawataktubū́nakum
أَوَتَكْتُبُونَهَا	أوتكتبونها	ʾawataktubū́naha̱
أَوَتَكْتُبُونَهُ	أوتكتبونه	ʾawataktubū́nahu
أَوَتَكْتُبُونَهُمْ	أوتكتبونهم	ʾawataktubū́nahum
أَوَتَكْتُبُونَهُمَا	أوتكتبونهما	ʾawataktubūnáhuma̱
أَوَتَكْتُبُونَهُنَّ	أوتكتبونهن	ʾawataktubūnahúnna
أَوَتَكْتُبُونَكُنَّ	أوتكتبونكن	ʾawataktubūnakúnna
أَفَتَكْتُبُونَ	أفتكتبون	ʾafataktubū́na
أَفَتَكْتُبُونَنِي	أفتكتبونني	ʾafataktubū́nani̱
أَفَتَكْتُبُونَنَا	أفتكتبوننا	ʾafataktubū́nana̱
أَفَتَكْتُبُونَكُمْ	أفتكتبونكم	ʾafataktubū́nakum
أَفَتَكْتُبُونَهَا	أفتكتبونها	ʾafataktubū́naha̱
أَفَتَكْتُبُونَهُ	أفتكتبونه	ʾafataktubū́nahu
أَفَتَكْتُبُونَهُمْ	أفتكتبونهم	ʾafataktubū́nahum
أَفَتَكْتُبُونَهُمَا	أفتكتبونهما	ʾafataktubūnáhuma̱
أَفَتَكْتُبُونَهُنَّ	أفتكتبونهن	ʾafataktubūnahúnna
أَفَتَكْتُبُونَكُنَّ	أفتكتبونكن	ʾafataktubūnakúnna
تَكْتُبِينَ	تكتبين	taktubī́na
تَكْتُبِينَنِي	تكتبينني	taktubī́nani̱
تَكْتُبِينَنَا	تكتبيننا	taktubī́nana̱
تَكْتُبِينَكِ	تكتبينك	taktubī́naki
تَكْتُبِينَكُمَا	تكتبينكما	taktubīnákuma̱
تَكْتُبِينَهَا	تكتبينها	taktubī́naha̱
تَكْتُبِينَهُ	تكتبينه	taktubī́nahu
تَكْتُبِينَهُمْ	تكتبينهم	taktubī́nahum
تَكْتُبِينَهُمَا	تكتبينهما	taktubīnáhuma̱
وَتَكْتُبِينَ	وتكتبين	wataktubī́na
وَتَكْتُبِينَنِي	وتكتبينني	wataktubī́nani̱
وَتَكْتُبِينَنَا	وتكتبيننا	wataktubī́nana̱
وَتَكْتُبِينَكِ	وتكتبينك	wataktubī́naki
وَتَكْتُبِينَكُمَا	وتكتبينكما	wataktubīnákuma̱
وَتَكْتُبِينَهَا	وتكتبينها	wataktubī́naha̱
وَتَكْتُبِينَهُ	وتكتبينه	wataktubī́nahu
وَتَكْتُبِينَهُمْ	وتكتبينهم	wataktubī́nahum
وَتَكْتُبِينَهُمَا	وتكتبينهما	wataktubīnáhuma̱
فَتَكْتُبِينَ	فتكتبين	fataktubī́na
فَتَكْتُبِينَنِي	فتكتبينني	fataktubī́nani̱
فَتَكْتُبِينَنَا	فتكتبيننا	fataktubī́nana̱
فَتَكْتُبِينَكِ	فتكتبينك	fataktubī́naki
فَتَكْتُبِينَكُمَا	فتكتبينكما	fataktubīnákuma̱
فَتَكْتُبِينَهَا	فتكتبينها	fataktubī́naha̱
فَتَكْتُبِينَهُ	فتكتبينه	fataktubī́nahu
فَتَكْتُبِينَهُمْ	فتكتبينهم	fataktubī́nahum
فَتَكْتُبِينَهُمَا	فتكتبينهما	fataktubīnáhuma̱
أَتَكْتُبِينَ	أتكتبين	ʾataktubī́na
أَتَكْتُبِينَنِي	أتكتبينني	ʾataktubī́nani̱
أَتَكْتُبِينَنَا	أتكتبيننا	ʾataktubī́nana̱
أَتَكْتُبِينَكِ	أتكتبينك	ʾataktubī́naki
أَتَكْتُبِينَكُمَا	أتكتبينكما	ʾataktubīnákuma̱
أَتَكْتُبِينَهَا	أتكتبينها	ʾataktubī́naha̱
أَتَكْتُبِينَهُ	أتكتبينه	ʾataktubī́nahu
أَتَكْتُبِينَهُمْ	أتكتبينهم	ʾataktubī́nahum
أَتَكْتُبِينَهُمَا	أتكتبينهما	ʾataktubīnáhuma̱
أَوَتَكْتُبِينَ	أوتكتبين	ʾawataktubī́na
أَوَتَكْتُبِينَنِي	أوتكتبينني	ʾawataktubī́nani̱
أَوَتَكْتُبِينَنَا	أوتكتبيننا	ʾawataktubī́nana̱
أَوَتَكْتُبِينَكِ	أوتكتبينك	ʾawataktubī́naki
أَوَتَكْتُبِينَكُمَا	أوتكتبينكما	ʾawataktubīnákuma̱
أَوَتَكْتُبِينَهَا	أوتكتبينها	ʾawataktubī́naha̱
أَوَتَكْتُبِينَهُ	أوتكتبينه	ʾawataktubī́nahu
أَوَتَكْتُبِينَهُمْ	أوتكتبينهم	ʾawataktubī́nahum
أَوَتَكْتُبِينَهُمَا	أوتكتبينهما	ʾawataktubīnáhuma̱
أَفَتَكْتُبِينَ	أفتكتبين	ʾafataktubī́na
أَفَتَكْتُبِينَنِي	أفتكتبينني	ʾafataktubī́nani̱
أَفَتَكْتُبِينَنَا	أفتكتبيننا	ʾafataktubī́nana̱
أَفَتَكْتُبِينَكِ	أفتكتبينك	ʾafataktubī́naki
أَفَتَكْتُبِينَكُمَا	أفتكتبينكما	ʾafataktubīnákuma̱
أَفَتَكْتُبِينَهَا	أفتكتبينها	ʾafataktubī́naha̱
أَفَتَكْتُبِينَهُ	أفتكتبينه	ʾafataktubī́nahu
أَفَتَكْتُبِينَهُمْ	أفتكتبينهم	ʾafataktubī́nahum
أَفَتَكْتُبِينَهُمَا	أفتكتبينهما	ʾafataktubīnáhuma̱
يَكْتُبُ	يكتب	yáktubu
يَكْتُبُنِي	يكتبني	yaktúbuni̱
يَكْتُبُنَا	يكتبنا	yaktúbuna̱
يَكْتُبُكَ	يكتبك	yaktúbuka
يَكْتُبُكِ	يكتبك	yaktúbuki
يَكْتُبُكُمْ	يكتبكم	yaktúbukum
يَكْتُبُكُمَا	يكتبكما	yaktubúkuma̱
يَكْتُبُهَا	يكتبها	yaktúbuha̱
يَكْتُبُهُ	يكتبه	yaktúbuhu
يَكْتُبُهُمْ	يكتبهم	yaktúbuhum
يَكْتُبُهُمَا	يكتبهما	yaktubúhuma̱
يَكْتُبُهُنَّ	يكتبهن	yaktubuhúnna
يَكْتُبُكُنَّ	يكتبكن	yaktubukúnna
وَيَكْتُبُ	ويكتب	wayáktubu
وَيَكْتُبُنِي	ويكتبني	wayaktúbuni̱
وَيَكْتُبُنَا	ويكتبنا	wayaktúbuna̱
وَيَكْتُبُكَ	ويكتبك	wayaktúbuka
وَيَكْتُبُكِ	ويكتبك	wayaktúbuki
وَيَكْتُبُكُمْ	ويكتبكم	wayaktúbukum
وَيَكْتُبُكُمَا	ويكتبكما	wayaktubúkuma̱
وَيَكْتُبُهَا	ويكتبها	wayaktúbuha̱
وَيَكْتُبُهُ	ويكتبه	wayaktúbuhu
وَيَكْتُبُهُمْ	ويكتبهم	wayaktúbuhum
وَيَكْتُبُهُمَا	ويكتبهما	wayaktubúhuma̱
وَيَكْتُبُهُنَّ	ويكتبهن	wayaktubuhúnna
وَيَكْتُبُكُنَّ	ويكتبكن	wayaktubukúnna
فَيَكْتُبُ	فيكتب	fayáktubu
فَيَكْتُبُنِي	فيكتبني	fayaktúbuni̱
فَيَكْتُبُنَا	فيكتبنا	fayaktúbuna̱
فَيَكْتُبُكَ	فيكتبك	fayaktúbuka
فَيَكْتُبُكِ	فيكتبك	fayaktúbuki
فَيَكْتُبُكُمْ	فيكتبكم	fayaktúbukum
فَيَكْتُبُكُمَا	فيكتبكما	fayaktubúkuma̱
فَيَكْتُبُهَا	فيكتبها	fayaktúbuha̱
فَيَكْتُبُهُ	فيكتبه	fayaktúbuhu
فَيَكْتُبُهُمْ	فيكتبهم	fayaktúbuhum
فَيَكْتُبُهُمَا	فيكتبهما	fayaktubúhuma̱
فَيَكْتُبُهُنَّ	فيكتبهن	fayaktubuhúnna
فَيَكْتُبُكُنَّ	فيكتبكن	fayaktubukúnna
أَيَكْتُبُ	أيكتب	ʾayáktubu
أَيَكْتُبُنِي	أيكتبني	ʾayaktúbuni̱
أَيَكْتُبُنَا	أيكتبنا	ʾayaktúbuna̱
أَيَكْتُبُكَ	أيكتبك	ʾayaktúbuka
أَيَكْتُبُكِ	أيكتبك	ʾayaktúbuki
أَيَكْتُبُكُمْ	أيكتبكم	ʾayaktúbukum
أَيَكْتُبُكُمَا	أيكتبكما	ʾayaktubúkuma̱
أَيَكْتُبُهَا	أيكتبها	ʾayaktúbuha̱
أَيَكْتُبُهُ	أيكتبه	ʾayaktúbuhu
أَيَكْتُبُهُمْ	أيكتبهم	ʾayaktúbuhum
أَيَكْتُبُهُمَا	أيكتبهما	ʾayaktubúhuma̱
أَيَكْتُبُهُنَّ	أيكتبهن	ʾayaktubuhúnna
أَيَكْتُبُكُنَّ	أيكتبكن	ʾayaktubukúnna
أَوَيَكْتُبُ	أويكتب	ʾawayáktubu
أَوَيَكْتُبُنِي	أويكتبني	ʾawayaktúbuni̱
أَوَيَكْتُبُنَا	أويكتبنا	ʾawayaktúbuna̱
أَوَيَكْتُبُكَ	أويكتبك	ʾawayaktúbuka
أَوَيَكْتُبُكِ	أويكتبك	ʾawayaktúbuki
أَوَيَكْتُبُكُمْ	أويكتبكم	ʾawayaktúbukum
أَوَيَكْتُبُكُمَا	أويكتبكما	ʾawayaktubúkuma̱
أَوَيَكْتُبُهَا	أويكتبها	ʾawayaktúbuha̱
أَوَيَكْتُبُهُ	أويكتبه	ʾawayaktúbuhu
أَوَيَكْتُبُهُمْ	أويكتبهم	ʾawayaktúbuhum
أَوَيَكْتُبُهُمَا	أويكتبهما	ʾawayaktubúhuma̱
أَوَيَكْتُبُهُنَّ	أويكتبهن	ʾawayaktubuhúnna
أَوَيَكْتُبُكُنَّ	أويكتبكن	ʾawayaktubukúnna
أَفَيَكْتُبُ	أفيكتب	ʾafayáktubu
أَفَيَكْتُبُنِي	أفيكتبني	ʾafayaktúbuni̱
أَفَيَكْتُبُنَا	أفيكتبنا	ʾafayaktúbuna̱
أَفَيَكْتُبُكَ	أفيكتبك	ʾafayaktúbuka
أَفَيَكْتُبُكِ	أفيكتبك	ʾafayaktúbuki
أَفَيَكْتُبُكُمْ	أفيكتبكم	ʾafayaktúbukum
أَفَيَكْتُبُكُمَا	أفيكتبكما	ʾafayaktubúkuma̱
أَفَيَكْتُبُهَا	أفيكتبها	ʾafayaktúbuha̱
أَفَيَكْتُبُهُ	أفيكتبه	ʾafayaktúbuhu
أَفَيَكْتُبُهُمْ	أفيكتبهم	ʾafayaktúbuhum
أَفَيَكْتُبُهُمَا	أفيكتبهما	ʾafayaktubúhuma̱
أَفَيَكْتُبُهُنَّ	أفيكتبهن	ʾafayaktubuhúnna
أَفَيَكْتُبُكُنَّ	أفيكتبكن	ʾafayaktubukúnna
يَكْتُبَانِ	يكتبان	yaktubā́ni
يَكْتُبَانِنِي	يكتبانني	yaktubā́nini̱
يَكْتُبَانِنَا	يكتباننا	yaktubā́nina̱
يَكْتُبَانِكَ	يكتبانك	yaktubā́nika
يَكْتُبَانِكِ	يكتبانك	yaktubā́niki
يَكْتُبَانِكُمْ	يكتبانكم	yaktubā́nikum
يَكْتُبَانِكُمَا	يكتبانكما	yaktubāníkuma̱
يَكْتُبَانِهَا	يكتبانها	yaktubā́niha̱
يَكْتُبَانِهُ	يكتبانه	yaktubā́nihu
يَكْتُبَانِهُمْ	يكتبانهم	yaktubā́nihum
يَكْتُبَانِهُمَا	يكتبانهما	yaktubāníhuma̱
يَكْتُبَانِهُنَّ	يكتبانهن	yaktubānihúnna
يَكْتُبَانِكُنَّ	يكتبانكن	yaktubānikúnna
وَيَكْتُبَانِ	ويكتبان	wayaktubā́ni
وَيَكْتُبَانِنِي	ويكتبانني	wayaktubā́nini̱
وَيَكْتُبَانِنَا	ويكتباننا	wayaktubā́nina̱
وَيَكْتُبَانِكَ	ويكتبانك	wayaktubā́nika
