كَتَبَ	كتب	kátaba
فَكَتَبَاهَا	فكتباها	fakatabā́ha̱
فَكَتَبَاهُ	فكتباه	fakatabā́hu
فَكَتَبَاهُمْ	فكتباهم	fakatabā́hum
فَكَتَبَاهُمَا	فكتباهما	fakatabā́huma̱
فَكَتَبَاهُنَّ	فكتباهن	fakatabāhúnna
فَكَتَبَاكُنَّ	فكتباكن	fakatabākúnna
أَكَتَبَا	أكتبا	ʾakátaba̱
أَكَتَبَانِي	أكتباني	ʾakatabā́ni̱
أَكَتَبَانَا	أكتبانا	ʾakatabā́na̱
أَكَتَبَاكَ	أكتباك	ʾakatabā́ka
أَكَتَبَاكِ	أكتباك	ʾakatabā́ki
أَكَتَبَاكُمْ	أكتباكم	ʾakatabā́kum
أَكَتَبَاكُمَا	أكتباكما	ʾakatabā́kuma̱
أَكَتَبَاهَا	أكتباها	ʾakatabā́ha̱
أَكَتَبَاهُ	أكتباه	ʾakatabā́hu
أَكَتَبَاهُمْ	أكتباهم	ʾakatabā́hum
أَكَتَبَاهُمَا	أكتباهما	ʾakatabā́huma̱
أَكَتَبَاهُنَّ	أكتباهن	ʾakatabāhúnna
أَكَتَبَاكُنَّ	أكتباكن	ʾakatabākúnna
أَوَكَتَبَا	أوكتبا	ʾawakátaba̱
أَوَكَتَبَانِي	أوكتباني	ʾawakatabā́ni̱
أَوَكَتَبَانَا	أوكتبانا	ʾawakatabā́na̱
أَوَكَتَبَاكَ	أوكتباك	ʾawakatabā́ka
أَوَكَتَبَاكِ	أوكتباك	ʾawakatabā́ki
أَوَكَتَبَاكُمْ	أوكتباكم	ʾawakatabā́kum
أَوَكَتَبَاكُمَا	أوكتباكما	ʾawakatabā́kuma̱
أَوَكَتَبَاهَا	أوكتباها	ʾawakatabā́ha̱
أَوَكَتَبَاهُ	أوكتباه	ʾawakatabā́hu
أَوَكَتَبَاهُمْ	أوكتباهم	ʾawakatabā́hum
أَوَكَتَبَاهُمَا	أوكتباهما	ʾawakatabā́huma̱
أَوَكَتَبَاهُنَّ	أوكتباهن	ʾawakatabāhúnna
أَوَكَتَبَاكُنَّ	أوكتباكن	ʾawakatabākúnna
أَفَكَتَبَا	أفكتبا	ʾafakátaba̱
أَفَكَتَبَانِي	أفكتباني	ʾafakatabā́ni̱
أَفَكَتَبَانَا	أفكتبانا	ʾafakatabā́na̱
أَفَكَتَبَاكَ	أفكتباك	ʾafakatabā́ka
أَفَكَتَبَاكِ	أفكتباك	ʾafakatabā́ki
أَفَكَتَبَاكُمْ	أفكتباكم	ʾafakatabā́kum
أَفَكَتَبَاكُمَا	أفكتباكما	ʾafakatabā́kuma̱
أَفَكَتَبَاهَا	أفكتباها	ʾafakatabā́ha̱
أَفَكَتَبَاهُ	أفكتباه	ʾafakatabā́hu
أَفَكَتَبَاهُمْ	أفكتباهم	ʾafakatabā́hum
أَفَكَتَبَاهُمَا	أفكتباهما	ʾafakatabā́huma̱
أَفَكَتَبَاهُنَّ	أفكتباهن	ʾafakatabāhúnna
أَفَكَتَبَاكُنَّ	أفكتباكن	ʾafakatabākúnna
كَتَبْنَ	كتبن	katábna
كَتَبْنَنِي	كتبنني	katábnani̱
كَتَبْنَنَا	كتبننا	katábnana̱
كَتَبْنَكَ	كتبنك	katábnaka
كَتَبْنَكِ	كتبنك	katábnaki
كَتَبْنَكُمْ	كتبنكم	katábnakum
كَتَبْنَكُمَا	كتبنكما	katabnákuma̱
كَتَبْنَهَا	كتبنها	katábnaha̱
كَتَبْنَهُ	كتبنه	katábnahu
كَتَبْنَهُمْ	كتبنهم	katábnahum
كَتَبْنَهُمَا	كتبنهما	katabnáhuma̱
كَتَبْنَهُنَّ	كتبنهن	katabnahúnna
كَتَبْنَكُنَّ	كتبنكن	katabnakúnna
وَكَتَبْنَ	وكتبن	wakatábna
وَكَتَبْنَنِي	وكتبنني	wakatábnani̱
وَكَتَبْنَنَا	وكتبننا	wakatábnana̱
وَكَتَبْنَكَ	وكتبنك	wakatábnaka
وَكَتَبْنَكِ	وكتبنك	wakatábnaki
وَكَتَبْنَكُمْ	وكتبنكم	wakatábnakum
وَكَتَبْنَكُمَا	وكتبنكما	wakatabnákuma̱
وَكَتَبْنَهَا	وكتبنها	wakatábnaha̱
وَكَتَبْنَهُ	وكتبنه	wakatábnahu
وَكَتَبْنَهُمْ	وكتبنهم	wakatábnahum
وَكَتَبْنَهُمَا	وكتبنهما	wakatabnáhuma̱
وَكَتَبْنَهُنَّ	وكتبنهن	wakatabnahúnna
وَكَتَبْنَكُنَّ	وكتبنكن	wakatabnakúnna
فَكَتَبْنَ	فكتبن	fakatábna
فَكَتَبْنَنِي	فكتبنني	fakatábnani̱
فَكَتَبْنَنَا	فكتبننا	fakatábnana̱
فَكَتَبْنَكَ	فكتبنك	fakatábnaka
فَكَتَبْنَكِ	فكتبنك	fakatábnaki
